"year","sex","age","deaths"
2006,"male",85,2472.85578943647
2007,"male",0,981.878785442757
2007,"male",1,213.926428595074
2007,"male",5,105.456690152501
2007,"male",10,153.665462793645
2007,"male",15,332.439661337886
2007,"male",20,498.157317291817
2007,"male",25,581.518319983794
2007,"male",30,666.888021535819
2007,"male",35,846.666569510083
2007,"male",40,932.036271062108
2007,"male",45,1099.76262587609
2007,"male",50,1324.73689820142
2007,"male",55,1496.4806507355
2007,"male",60,1584.86340057759
2007,"male",65,1821.88986606322
2007,"male",70,2051.88588553867
2007,"male",75,2137.2555870907
2007,"male",80,1900.22912160507
2007,"male",85,2704.13960420648
2008,"male",0,1075.32918845885
2008,"male",1,208.81568468242
2008,"male",5,107.016904025095
2008,"male",10,163.639214438627
2008,"male",15,360.407840389369
2008,"male",20,490.917643315882
2008,"male",25,638.494112778938
2008,"male",30,718.807837656792
2008,"male",35,802.133327217565
2008,"male",40,979.827443509817
2008,"male",45,1071.18430555838
2008,"male",50,1451.67057716721
2008,"male",55,1462.71371433791
2008,"male",60,1778.94900604446
2008,"male",65,1846.21175062967
2008,"male",70,2237.7411594092
2008,"male",75,2249.78821814088
2008,"male",80,2023.38693743607
2008,"male",85,2960.56468330989
2009,"male",0,1055.30137193839
2009,"male",1,222.666011584788
2009,"male",5,107.80662099354
2009,"male",10,146.093084523956
2009,"male",15,419.136021806659
2009,"male",20,592.43264620749
2009,"male",25,627.696494196031
2009,"male",30,757.668962496653
2009,"male",35,895.393726744003
2009,"male",40,988.395282193108
2009,"male",45,1211.0612937779
2009,"male",50,1457.52758476857
2009,"male",55,1620.72130962753
2009,"male",60,1756.13962982934
2009,"male",65,1997.48368701048
2009,"male",70,2305.24811993663
2009,"male",75,2462.94638137565
2009,"male",80,2043.28810630746
2009,"male",85,3120.3467777289
2010,"male",0,1052.44486606647
2010,"male",1,216.002214689639
2010,"male",5,111.517422467674
2010,"male",10,148.689896623566
2010,"male",15,393.827293759714
2010,"male",20,510.065932236675
2010,"male",25,619.876123086081
2010,"male",30,714.314300671319
2010,"male",35,858.373092781002
2010,"male",40,1016.71740123681
2010,"male",45,1138.28143834121
2010,"male",50,1391.45612718675
2010,"male",55,1615.49563358577
2010,"male",60,1865.65633804028
2010,"male",65,2019.36954198221
2010,"male",70,2477.49516941698
2010,"male",75,2491.5604299084
2010,"male",80,2362.4553109898
2010,"male",85,3457.0400964979
2011,"male",0,1099.96961691588
2011,"male",1,192.132023913077
2011,"male",5,116.290435526336
2011,"male",10,157.750503844421
2011,"male",15,473.251511533262
2011,"male",20,656.28254483993
2011,"male",25,703.809940228954
2011,"male",30,772.572980366266
2011,"male",35,913.132724176358
2011,"male",40,994.721197064621
2011,"male",45,1286.27333903912
2011,"male",50,1442.00140052656
2011,"male",55,1681.66081982866
2011,"male",60,1796.94003417651
2011,"male",65,2079.07074297519
2011,"male",70,2408.72884716289
2011,"male",75,2392.54930830705
2011,"male",80,2349.06679763198
2011,"male",85,3425.46316465591
2012,"male",0,1091.05234140058
2012,"male",1,155.619292886022
2012,"male",5,108.125093109119
2012,"male",10,139.451054664097
2012,"male",15,424.416253325514
2012,"male",20,706.349907320319
2012,"male",25,686.139609542914
2012,"male",30,771.022860208016
2012,"male",35,929.673697760649
2012,"male",40,990.304591092865
2012,"male",45,1288.40648330959
2012,"male",50,1458.77878978506
2012,"male",55,1841.15812752163
2012,"male",60,2039.21904574021
2012,"male",65,2181.70164507091
2012,"male",70,2425.23573328865
2012,"male",75,2628.34922595157
2012,"male",80,2543.46597528647
2012,"male",85,3636.8430850441
2013,"male",0,1093.71099806487
2013,"male",1,193.340820275558
2013,"male",5,88.6145426262975
2013,"male",10,151.04751584028
2013,"male",15,388.695607428987
2013,"male",20,626.343699017694
2013,"male",25,683.741755037
2013,"male",30,812.635635220706
2013,"male",35,805.58675114816
2013,"male",40,980.801869522884
2013,"male",45,1255.33859262525
2013,"male",50,1555.78941315488
2013,"male",55,1836.7377926178
2013,"male",60,2038.13448040484
2013,"male",65,2211.3356319017
2013,"male",70,2441.93483941786
2013,"male",75,2688.64578195698
2013,"male",80,2607.08012340323
2013,"male",85,3766.11806161765
2014,"male",0,948.557760037545
2014,"male",1,158.092960006258
2014,"male",5,97.6752682841209
2014,"male",10,140.974614018319
2014,"male",15,414.868149825338
2014,"male",20,615.253494037092
2014,"male",25,684.733839517549
2014,"male",30,718.970531493426
2014,"male",35,858.938183983043
2014,"male",40,1058.31656666609
2014,"male",45,1310.05694884166
2014,"male",50,1612.14540745235
2014,"male",55,1903.1572892473
2014,"male",60,2039.09709562211
2014,"male",65,2312.99063142913
2014,"male",70,2521.4316678705
2014,"male",75,2773.17205004607
2014,"male",80,2696.6429738647
2014,"male",85,3917.08034665186
2015,"male",0,966.831675226931
2015,"male",1,153.06270535032
2015,"male",5,97.6781738090857
2015,"male",10,123.859952355851
2015,"male",15,382.6567633758
2015,"male",20,668.642344425082
2015,"male",25,675.691284803057
2015,"male",30,749.201663030513
2015,"male",35,911.033158738041
2015,"male",40,1119.7745286155
2015,"male",45,1304.05396992542
2015,"male",50,1669.59187809757
2015,"male",55,1985.78720362389
2015,"male",60,2157.982747143
2015,"male",65,2484.24798749499
2015,"male",70,2685.64628400857
2015,"male",75,2957.5339843019
2015,"male",80,2857.84182752768
2015,"male",85,4473.05616556658
2016,"male",0,825.676317140186
2016,"male",1,182.005987966074
2016,"male",5,76.4224037868599
2016,"male",10,130.722532793313
2016,"male",15,400.21206193645
2016,"male",20,770.257385535982
2016,"male",25,831.16546674957
2016,"male",30,867.796506158685
2016,"male",35,938.185562278161
2016,"male",40,1198.62506992022
2016,"male",45,1352.47543543851
2016,"male",50,1758.72084504234
2016,"male",55,2052.34376485501
2016,"male",60,2325.85552577641
2016,"male",65,2506.85595579792
2016,"male",70,2724.05647182373
2016,"male",75,2932.20696634846
2016,"male",80,2930.19585045934
2016,"male",85,4580.31643748877
2017,"male",0,835.880240955367
2017,"male",1,139.48061643793
2017,"male",5,88.3042751549487
2017,"male",10,115.397632304763
2017,"male",15,405.396899574992
2017,"male",20,700.413455206298
2017,"male",25,840.897529316444
2017,"male",30,893.07732827164
2017,"male",35,917.160312404808
2017,"male",40,1168.02473045864
2017,"male",45,1306.50188922435
2017,"male",50,1690.82617768282
2017,"male",55,2012.93609046394
2017,"male",60,2248.74864343455
2017,"male",65,2459.47475459977
2017,"male",70,2653.14208533732
2017,"male",75,2817.70914358064
2017,"male",80,2853.83361978039
2017,"male",85,4337.94751698686
2018,"male",0,738.741868127261
2018,"male",1,157.371062816798
2018,"male",5,73.1725323925239
2018,"male",10,98.2316188283197
2018,"male",15,369.872115792347
2018,"male",20,597.408620629373
2018,"male",25,734.732414297534
2018,"male",30,741.748958499557
2018,"male",35,881.772335138641
2018,"male",40,1019.40363620817
2018,"male",45,1269.99450056613
2018,"male",50,1692.99187960237
2018,"male",55,2072.88762996903
2018,"male",60,2450.77865342083
2018,"male",65,2602.13553549304
2018,"male",70,2712.39551581054
2018,"male",75,2997.06673772118
2018,"male",80,2983.03364931714
2018,"male",85,4337.22668030754
2019,"male",0,706.446559896403
2019,"male",1,147.190703230402
2019,"male",5,93.1206489824991
2019,"male",10,114.147892301128
2019,"male",15,349.452758009593
2019,"male",20,610.791353541123
2019,"male",25,802.039138010557
2019,"male",30,831.076759736282
2019,"male",35,903.170165400153
2019,"male",40,1072.38940925007
2019,"male",45,1403.8188158437
2019,"male",50,1787.31568208345
2019,"male",55,2198.84887274804
2019,"male",60,2641.42227974014
2019,"male",65,2738.54811792618
2019,"male",70,3027.92303788255
2019,"male",75,3283.25384960876
2019,"male",80,3251.21233598037
2019,"male",85,4748.58885454375
2020,"male",0,675.527236015962
2020,"male",1,118.092168666494
2020,"male",5,80.0624872315215
2020,"male",10,112.08748212413
2020,"male",15,301.2351082086
2020,"male",20,580.453032428531
2020,"male",25,826.645180665459
2020,"male",30,913.713135529739
2020,"male",35,1083.84592089672
2020,"male",40,1406.0974320036
2020,"male",45,2078.62232474838
2020,"male",50,2770.16205821064
2020,"male",55,3408.66039388203
2020,"male",60,4058.16732154774
2020,"male",65,4487.50240932678
2020,"male",70,4502.51412568269
2020,"male",75,4376.41570829304
2020,"male",80,4309.36337523664
2020,"male",85,5899.60452787274
2021,"male",0,604.435068542427
2021,"male",1,116.070085622505
2021,"male",5,61.0368553704554
2021,"male",10,113.068273063303
2021,"male",15,327.197568953097
2021,"male",20,557.336531825306
2021,"male",25,818.494224475943
2021,"male",30,950.573977080863
2021,"male",35,1161.70146041145
2021,"male",40,1497.90446704216
2021,"male",45,2102.26939562831
2021,"male",50,2756.6645335345
2021,"male",55,3536.13519474081
2021,"male",60,3960.3913697748
2021,"male",65,4500.71763043129
2021,"male",70,4553.29396123582
2021,"male",75,4624.792549545
2021,"male",80,4424.67171226482
2021,"male",85,6392.32228504007
2022,"male",0,658.912078192482
2022,"male",1,108.058667700259
2022,"male",5,53.0287906306827
2022,"male",10,97.0526922863439
2022,"male",15,282.15318788401
2022,"male",20,457.248251287208
2022,"male",25,661.108932249502
2022,"male",30,804.168599204162
2022,"male",35,917.191379769565
2022,"male",40,1072.58233124702
2022,"male",45,1401.76105044503
2022,"male",50,1831.99463480717
2022,"male",55,2395.87848387779
2022,"male",60,2813.52753308453
2022,"male",65,3067.20812470121
2022,"male",70,3377.44625215194
2022,"male",75,3512.42883922664
2022,"male",80,3434.86487236102
2022,"male",85,5669.95112197137
2023,"male",0,625.334345277433
2023,"male",1,128.597439559562
2023,"male",5,76.02842747465
2023,"male",10,106.039648846222
2023,"male",15,326.12193890442
2023,"male",20,466.174305305091
2023,"male",25,652.243877808839
2023,"male",30,758.283526655062
2023,"male",35,878.015060834939
2023,"male",40,1050.39274800503
2023,"male",45,1414.52890064678
2023,"male",50,1840.6882441231
2023,"male",55,2300.86030515388
2023,"male",60,2789.04283946479
2023,"male",65,3044.13822112316
2023,"male",70,3286.22874018717
2023,"male",75,3401.27175544487
2023,"male",80,3292.23098446149
2023,"male",85,5245.96149575085
2024,"male",0,542.909367182703
2024,"male",1,106.053060293506
2024,"male",5,69.0345392476599
2024,"male",10,112.056063706346
2024,"male",15,334.167189981426
2024,"male",20,490.245278715266
2024,"male",25,654.327371999559
2024,"male",30,767.383936274712
2024,"male",35,871.435995430605
2024,"male",40,1029.51508530206
2024,"male",45,1429.71531282472
2024,"male",50,1873.93756537488
2024,"male",55,2321.16131963146
2024,"male",60,2762.3820704752
2024,"male",65,3159.58079629145
2024,"male",70,3380.69142199772
2024,"male",75,3452.7274629518
2024,"male",80,3294.64837308035
2024,"male",85,5327.66552889549
1990,"female",0,1705.05507745104
1990,"female",1,852.761146729559
1990,"female",5,240.664120732018
1990,"female",10,181.338568602773
1990,"female",15,273.391337119306
1990,"female",20,260.938089894379
1990,"female",25,229.423180735785
1990,"female",30,281.010758872513
1990,"female",35,322.94351697218
1990,"female",40,314.907390875968
1990,"female",45,447.635526495812
1990,"female",50,523.771163435099
1990,"female",55,695.746712394639
1990,"female",60,794.4584927728
1990,"female",65,956.869679917572
1990,"female",70,962.330036073382
1990,"female",75,1101.09669801562
1990,"female",80,1068.4465405261
1990,"female",85,2085.38517312263
1991,"female",0,1434.00463682225
1991,"female",1,472.512146117266
1991,"female",5,149.650545537573
1991,"female",10,138.953411138175
1991,"female",15,206.899411951275
1991,"female",20,241.04785858401
1991,"female",25,258.122081900377
1991,"female",30,267.241153128886
1991,"female",35,326.718167627043
1991,"female",40,357.885699213701
1991,"female",45,413.122593324183
1991,"female",50,488.472575926896
1991,"female",55,631.291478806248
1991,"female",60,852.582291549517
1991,"female",65,920.446579883238
1991,"female",70,967.65502373395
1991,"female",75,1004.85316088509
1991,"female",80,1096.28148191739
1991,"female",85,2109.44567582956
1992,"female",0,1230.5539223538
1992,"female",1,412.047609539306
1992,"female",5,144.719160423561
1992,"female",10,122.609288692184
1992,"female",15,193.963874734356
1992,"female",20,228.133676501031
1992,"female",25,215.341336266083
1992,"female",30,279.388379151042
1992,"female",35,303.508239221635
1992,"female",40,364.142887454655
1992,"female",45,414.057597878522
1992,"female",50,554.756781623651
1992,"female",55,692.440982859956
1992,"female",60,829.120189926653
1992,"female",65,980.874309537471
1992,"female",70,973.839350350214
1992,"female",75,958.764437806093
1992,"female",80,1191.92308515516
1992,"female",85,2151.69251713087
1993,"female",0,1125.5666366243
1993,"female",1,424.344641080286
1993,"female",5,139.441856052387
1993,"female",10,112.356027898326
1993,"female",15,192.954895854013
1993,"female",20,222.705698155611
1993,"female",25,221.70251933509
1993,"female",30,249.791526309672
1993,"female",35,327.036295489771
1993,"female",40,340.077620156541
1993,"female",45,399.265170567266
1993,"female",50,541.716563081216
1993,"female",55,737.336433082766
1993,"female",60,899.851402007131
1993,"female",65,992.143853495041
1993,"female",70,1122.01852528644
1993,"female",75,958.035773597335
1993,"female",80,1235.91630688159
1993,"female",85,2245.11420032548
1994,"female",0,1074.57291955789
1994,"female",1,389.294391025641
1994,"female",5,127.423679536743
1994,"female",10,114.380310765266
1994,"female",15,174.580474325932
1994,"female",20,223.743941233809
1994,"female",25,194.647195512821
1994,"female",30,256.854031192176
1994,"female",35,315.047522634153
1994,"female",40,368.224333779408
1994,"female",45,420.397808865319
1994,"female",50,515.71473450304
1994,"female",55,701.33190548176
1994,"female",60,919.055830359503
1994,"female",65,1028.41946082805
1994,"female",70,1106.67967345691
1994,"female",75,1048.48618201494
1994,"female",80,1274.23679536743
1994,"female",85,2268.54283017777
1995,"female",0,1153.17910720125
1995,"female",1,356.601553185056
1995,"female",5,131.590995682373
1995,"female",10,128.577461430105
1995,"female",15,208.93837482392
1995,"female",20,251.127854355673
1995,"female",25,226.015068920106
1995,"female",30,259.163945695055
1995,"female",35,313.40756223588
1995,"female",40,334.502302001757
1995,"female",45,455.406545834181
1995,"female",50,529.377516981759
1995,"female",55,754.388074484442
1995,"female",60,925.582931734666
1995,"female",65,1106.42827453175
1995,"female",70,1130.07534460053
1995,"female",75,1058.75503396352
1995,"female",80,1237.55806626476
1995,"female",85,2354.57476243879
1996,"female",0,1139.79370034808
1996,"female",1,354.356728951372
1996,"female",5,108.415089877473
1996,"female",10,134.51501892205
1996,"female",15,179.687973037664
1996,"female",20,194.745624409536
1996,"female",25,194.745624409536
1996,"female",30,236.907048250775
1996,"female",35,321.229895933255
1996,"female",40,350.341355252206
1996,"female",45,491.883278147796
1996,"female",50,584.236873228607
1996,"female",55,760.913315991897
1996,"female",60,952.647410127058
1996,"female",65,1213.1180306814
1996,"female",70,1267.85424551156
1996,"female",75,1223.68513482074
1996,"female",80,1232.71972564386
1996,"female",85,2731.01123726809
1997,"female",0,1067.58139934592
1997,"female",1,312.503832171447
1997,"female",5,124.599598679291
1997,"female",10,99.4787118487885
1997,"female",15,167.807524027754
1997,"female",20,192.928410858257
1997,"female",25,211.015449376218
1997,"female",30,254.223374724682
1997,"female",35,324.561857850088
1997,"female",40,369.779454144992
1997,"female",45,453.180798422259
1997,"female",50,593.857764673071
1997,"female",55,767.694301540146
1997,"female",60,974.690409023484
1997,"female",65,1266.09269625731
1997,"female",70,1263.07818983765
1997,"female",75,1292.21841856103
1997,"female",80,1153.55112325666
1997,"female",85,2639.26165657526
1998,"female",0,1119.47053567698
1998,"female",1,325.21853748926
1998,"female",5,102.383613654026
1998,"female",10,102.383613654026
1998,"female",15,167.628073335514
1998,"female",20,206.774749144406
1998,"female",25,199.998420743098
1998,"female",30,272.019208825893
1998,"female",35,286.071861680368
1998,"female",40,356.63968588945
1998,"female",45,510.624706862957
1998,"female",50,569.132440606205
1998,"female",55,845.581804447194
1998,"female",60,1014.80228827667
1998,"female",65,1238.44869295695
1998,"female",70,1242.65601670279
1998,"female",75,1309.90799822063
1998,"female",80,1280.32140224222
1998,"female",85,2728.34723025516
1999,"female",0,1037.03349396789
1999,"female",1,236.593329731827
1999,"female",5,118.296664865913
1999,"female",10,116.291636647847
1999,"female",15,177.44499729887
1999,"female",20,181.455053735003
1999,"female",25,211.530477005998
1999,"female",30,246.618470822158
1999,"female",35,313.78691612738
1999,"female",40,394.990558959067
1999,"female",45,499.252026298516
1999,"female",50,608.52606418313
1999,"female",55,857.149563223355
1999,"female",60,1030.58450408609
1999,"female",65,1292.24068654375
1999,"female",70,1361.41416006704
1999,"female",75,1478.70831082392
1999,"female",80,1158.90631004234
1999,"female",85,2635.60959264819
2000,"female",0,986.066624112802
2000,"female",1,211.658247902138
2000,"female",5,116.36188036326
2000,"female",10,110.343162413437
2000,"female",15,170.530341911675
2000,"female",20,188.586495761146
2000,"female",25,195.608333369274
2000,"female",30,256.798632525816
2000,"female",35,289.901581249847
2000,"female",40,349.085641089781
2000,"female",45,492.531752227249
2000,"female",50,623.940427465069
2000,"female",55,789.455171085224
2000,"female",60,1086.3785899432
2000,"female",65,1279.98068399587
2000,"female",70,1451.51414556584
2000,"female",75,1383.30200880117
2000,"female",80,1217.78726518102
2000,"female",85,2481.71803464402
2001,"female",0,942.314691867165
2001,"female",1,195.802066194041
2001,"female",5,96.3948633570666
2001,"female",10,131.538823955997
2001,"female",15,172.707463514744
2001,"female",20,181.744481954469
2001,"female",25,229.941913633003
2001,"female",30,251.028289992361
2001,"female",35,293.201042711077
2001,"female",40,386.583566588236
2001,"female",45,528.163522143927
2001,"female",50,657.694119779985
2001,"female",55,823.372791174944
2001,"female",60,1111.55326808617
2001,"female",65,1262.17024208159
2001,"female",70,1536.29313475325
2001,"female",75,1399.7337449974
2001,"female",80,1397.72551867747
2001,"female",85,2696.61058747875
2002,"female",0,922.083326660529
2002,"female",1,202.803252271714
2002,"female",5,97.3857201502786
2002,"female",10,111.441391099803
2002,"female",15,164.652145408719
2002,"female",20,211.839040739266
2002,"female",25,211.839040739266
2002,"female",30,254.00605358784
2002,"female",35,303.200901911177
2002,"female",40,425.003786806726
2002,"female",45,525.079707614389
2002,"female",50,662.624487620453
2002,"female",55,824.264703539987
2002,"female",60,1118.42981698361
2002,"female",65,1290.10979786709
2002,"female",70,1505.96474459194
2002,"female",75,1491.90907364241
2002,"female",80,1441.71024882268
2002,"female",85,2772.98308304195
2003,"female",0,838.035886207752
2003,"female",1,223.700038992462
2003,"female",5,89.2793877593234
2003,"female",10,120.37670259684
2003,"female",15,163.511687694042
2003,"female",20,176.552497142033
2003,"female",25,200.627837661401
2003,"female",30,259.813049771514
2003,"female",35,311.976287563478
2003,"female",40,395.23684019296
2003,"female",45,530.660630614405
2003,"female",50,715.62506562269
2003,"female",55,803.51448983391
2003,"female",60,1197.74819083856
2003,"female",65,1383.32894067536
2003,"female",70,1707.34289849852
2003,"female",75,1613.52307932766
2003,"female",80,1654.17652151825
2003,"female",85,3029.48034868715
2004,"female",0,889.601979609339
2004,"female",1,239.593334832254
2004,"female",5,96.2383269619096
2004,"female",10,108.268117832148
2004,"female",15,152.377351023024
2004,"female",20,191.474171351299
2004,"female",25,223.553613671936
2004,"female",30,242.600782549814
2004,"female",35,331.821731504084
2004,"female",40,381.945860130079
2004,"female",45,581.439892061537
2004,"female",50,711.762626489123
2004,"female",55,899.226867550343
2004,"female",60,1275.1578322453
2004,"female",65,1442.48030868006
2004,"female",70,1709.23278614642
2004,"female",75,1678.63203406754
2004,"female",80,1798.45373510069
2004,"female",85,2984.39061839172
2005,"female",0,855.806633722806
2005,"female",1,257.711872107627
2005,"female",5,98.2714531772272
2005,"female",10,98.2714531772272
2005,"female",15,159.440418930399
2005,"female",20,196.542906354454
2005,"female",25,202.559525936734
2005,"female",30,255.706332246867
2005,"female",35,322.891917582318
2005,"female",40,409.130131594987
2005,"female",45,565.562240734246
2005,"female",50,779.152235905159
2005,"female",55,961.656363234295
2005,"female",60,1273.51781158243
2005,"female",65,1514.1825948736
2005,"female",70,1740.80859913945
2005,"female",75,1794.95817537997
2005,"female",80,1894.23239848757
2005,"female",85,3229.92194575356
2006,"female",0,825.008681718877
2006,"female",1,193.236256761824
2006,"female",5,112.137102369556
2006,"female",10,112.137102369556
2006,"female",15,190.232584376926
2006,"female",20,179.21911896563
2006,"female",25,205.25094630142
2006,"female",30,257.314600972999
2006,"female",35,327.400289953972
2006,"female",40,435.53249581033
2006,"female",45,542.663477538388
2006,"female",50,773.946251175597
2006,"female",55,1003.22657655621
2006,"female",60,1167.42733359734
2006,"female",65,1468.79579621553
2006,"female",70,1730.11529370172
2006,"female",75,1958.39439495403
2006,"female",80,1825.23158589019
2006,"female",85,3173.88048670976
2007,"female",0,826.321142779719
2007,"female",1,175.200959549356
2007,"female",5,82.094163903127
2007,"female",10,94.1079439865114
2007,"female",15,199.228519716125
2007,"female",20,181.207849591049
2007,"female",25,223.256079882894
2007,"female",30,259.297420133047
2007,"female",35,327.375507272226
2007,"female",40,440.505269724096
2007,"female",45,601.690152509504
2007,"female",50,793.910633843655
